"Nome da Loja","Items #","Nome do Item","SKU","Código de barras","No Estoque","Reservado","Disponível","Vendas","Dias de Estoque","Bloqueado"
"(FBO) ALTAS PONTO COM LTDA","229.5DD","Estante Organizadora Modular Plástica 5 Prateleiras Colorida","PRDBF9U8DMEOGY7D","7898062608776","102","0","100","23","31","2"
"(FBO) ALTAS PONTO COM LTDA","A0B.790","Caixa Organizadora 70 Lts Com Tampa Cor Vermelha","PRDRHXZ395T048AU","7898062601005","135","0","130","2","472","5"
"(FBO) ALTAS PONTO COM LTDA","E5D.70A","Gaveteiro Plástico Com Rodinhas Organizador 3 Gavetas Branco","PRDALUUDZFAV52QA","7898062605690","280","0","280","0","0","0"
"(FBO) ALTAS PONTO COM LTDA","221.692","Estante Organizadora Modular Plástica 5 Prateleiras Azul","PRD05EWXUQZNTBWU","7898062608493","8","0","8","2","28","0"
"(FBO) ALTAS PONTO COM LTDA","D28.2FC","Gaveteiro Branco","PRDMVBYZWZZRGTHY","7898062605713","26","0","26","44","4","0"
"(FBO) ALTAS PONTO COM LTDA","E6C.135","Caixa Organizadora 70 Lts Com Tampa - Kit Com 03 Peças","PRD8D4JQJVYT0LM4","7898062604051","16","0","15","2","56","1"
"(FBO) ALTAS PONTO COM LTDA","01B.072","Escada Banco Dobrável Plástica Suporta Até 100Kg Agraplast","PRDGORKR8ZFMV6T8","7898062608998","89","0","89","3","208","0"
"(FBO) ALTAS PONTO COM LTDA","209.98E","Gaveteiro Plástico Com Rodinhas Organizador 2 Gavetas Branco","PRDFOLNBOL6DL6GY","7898062605744","23","0","23","5","32","0"
"(FBO) ALTAS PONTO COM LTDA","A2E.441","Estante Plástica Modular Preta Com 4 Prateleiras","PRD1EJ8YEIMOOF6U","7898062608516","267","0","267","26","72","0"
"(FBO) ALTAS PONTO COM LTDA","B0C.BFC","Caixa Organizadora 60 Litros Cinza Com Tampa Preta 3 Peças","PRDQYSECXE8LV5A3","7898062600138","1","0","0","0","0","1"
"(FBO) ALTAS PONTO COM LTDA","F3A.F58","Estante Organizadora Modular Plástica 5 Prateleiras Rosa","PRDJOMIAU8JHNEF7","7898062609155","0","0","0","0","0","0"
"(FBO) ALTAS PONTO COM LTDA","FB2.D40","Estante Organizadora Modular Plástica 5 Prateleiras Preta","PRD5SSAML60VQN1P","7898062608721","0","0","0","9","0","0"
"(FBO) ALTAS PONTO COM LTDA","95E.7DE","Caixa Organizadora Plástica Verde Com Tampa 60L Agraplast","PRDQN3QEY1KM3QLM","7898062606420","11","0","11","5","15","0"
"(FBO) ALTAS PONTO COM LTDA","D1F.D15","Gaveteiro Com 02 Gavetas Grandes E 01 Gaveta Pequena Azul","PRDR3NS2PYBNW82F","7898062605560","9","0","9","0","0","0"
"(FBO) ALTAS PONTO COM LTDA","EFB.AAC","Caixa Organizadora 60 Litros - Preta Com Tampa Cinza","PRDUGBGADDVA61Q3","7898062600121","14","0","14","13","8","0"
"(FBO) ALTAS PONTO COM LTDA","F68.6A5","Estante Plástica Modular Grande Preta Com 5 Prateleiras","PRDXJO6C6P7A2UVA","7898062608752","0","0","0","0","0","0"
"(FBO) ALTAS PONTO COM LTDA","910.E58","Estante Plástica Organizadora Modular Branca 3 Prateleiras","PRDD2NV3L22IYHH2","7898062609193","44","0","43","2","154","1"
"(FBO) ALTAS PONTO COM LTDA","10E.231","Gaveteiro Branco 4 Gavetas Pequenas","PRDZY4FL0J06HTC1","7898062605720","20","0","20","0","0","0"
"(FBO) ALTAS PONTO COM LTDA","54D.994","Conjunto com 4 Caixas Organizadora 60 Litros na Cor Preta","PRD04SPIHEGP5CG2","7898062607113","66","0","66","0","0","0"
"(FBO) APS COM DE PARAFUSOS, FERRAMENTAS E FERRAGENS LTDA","D8C.EBE","Flama 161 Bv Inversora 160Amp 110/220V Boxer","PRDLD5HUN1RQPSIY","7909463285579","24","0","24","0","0","0"
"(FBO) APS COM DE PARAFUSOS, FERRAMENTAS E FERRAGENS LTDA","E72.646","Furadeira Parafusadeira Impacto Dewalt Dcd776C2 Bivolt","PRDUA74MQN986KUZ","7909463285616","55","0","55","1","385","0"
"(FBO) APS COM DE PARAFUSOS, FERRAMENTAS E FERRAGENS LTDA","8E2.E99","Furadeira De Impacto Mandril  1/2 710W  Dwd502 Dewalt 110v","PRDLJG3RS0TTQ6CO","028875005081","20","0","20","0","0","0"
"(FBO) APS COM DE PARAFUSOS, FERRAMENTAS E FERRAGENS LTDA","A4C.6AC","Furadeira De Impacto Dewalt 220V + 5 Brocas Para Concreto","PRD1PBXSR76NKQLE","7896525091035","26","0","26","1","182","0"
"(FBO) Antonio Alexandre de Sousa Silva","912.BB4","Toca Barraca Infantil Dobrável Pop Up Zoo Com 50 Bolinhas","PRDY6Y6ZBBIVZF3I","7897275168725","8","0","8","1","56","0"
