"Nome da Loja","Items #","Nome do Item","SKU","Código de barras","Local","CD Olist Barueri  No Estoque","CD Olist Barueri  Reservado","CD Olist Barueri  Disponível","CD Olist Barueri  Vendas","CD Olist Barueri  Dias de Estoque",""
"(FBO) ALTAS PONTO COM LTDA","229.5DD","Estante Organizadora Modular Plástica 5 Prateleiras Colorida","PRDBF9U8DMEOGY7D","7898062608776","B1-001-017-A-01","64","0","64","32","14","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","229.5DD","Estante Organizadora Modular Plástica 5 Prateleiras Colorida","PRDBF9U8DMEOGY7D","7898062608776","DM-001-001-Z-00","2","0","2","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","A0B.790","Caixa Organizadora 70 Lts Com Tampa Cor Vermelha","PRDRHXZ395T048AU","7898062601005","AI-001-001-Z-00","3","0","3","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","A0B.790","Caixa Organizadora 70 Lts Com Tampa Cor Vermelha","PRDRHXZ395T048AU","7898062601005","B1-002-011-A-01","100","0","100","27","26","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","A0B.790","Caixa Organizadora 70 Lts Com Tampa Cor Vermelha","PRDRHXZ395T048AU","7898062601005","DM-001-001-Z-00","1","0","1","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","A0B.790","Caixa Organizadora 70 Lts Com Tampa Cor Vermelha","PRDRHXZ395T048AU","7898062601005","DM-001-007-C-01","1","0","1","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","A0B.790","Caixa Organizadora 70 Lts Com Tampa Cor Vermelha","PRDRHXZ395T048AU","7898062601005","P1-001-003-A-01","2","0","2","1","14","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","E5D.70A","Gaveteiro Plástico Com Rodinhas Organizador 3 Gavetas Branco","PRDALUUDZFAV52QA","7898062605690","B1-001-001-A-01","280","0","280","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","221.692","Estante Organizadora Modular Plástica 5 Prateleiras Azul","PRD05EWXUQZNTBWU","7898062608493","P1-007-003-A-04","7","0","7","1","49","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","E6C.135","Caixa Organizadora 70 Lts Com Tampa - Kit Com 03 Peças","PRD8D4JQJVYT0LM4","7898062604051","B1-002-023-A-01","12","0","12","2","42","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","E6C.135","Caixa Organizadora 70 Lts Com Tampa - Kit Com 03 Peças","PRD8D4JQJVYT0LM4","7898062604051","P1-001-003-B-02","1","0","1","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","01B.072","Escada Banco Dobrável Plástica Suporta Até 100Kg Agraplast","PRDGORKR8ZFMV6T8","7898062608998","B1-001-021-A-01","88","0","88","1","616","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","209.98E","Gaveteiro Plástico Com Rodinhas Organizador 2 Gavetas Branco","PRDFOLNBOL6DL6GY","7898062605744","P2-005-010-C-01","4","0","4","14","2","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","A2E.441","Estante Plástica Modular Preta Com 4 Prateleiras","PRD1EJ8YEIMOOF6U","7898062608516","B1-002-001-A-01","237","0","237","17","98","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","B0C.BFC","Caixa Organizadora 60 Litros Cinza Com Tampa Preta 3 Peças","PRDQYSECXE8LV5A3","7898062600138","LT-001-001-Z-00","1","0","1","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","95E.7DE","Caixa Organizadora Plástica Verde Com Tampa 60L Agraplast","PRDQN3QEY1KM3QLM","7898062606420","B1-002-008-A-01","5","0","5","6","6","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","D1F.D15","Gaveteiro Com 02 Gavetas Grandes E 01 Gaveta Pequena Azul","PRDR3NS2PYBNW82F","7898062605560","P1-007-005-B-02","8","0","8","1","56","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","EFB.AAC","Caixa Organizadora 60 Litros - Preta Com Tampa Cinza","PRDUGBGADDVA61Q3","7898062600121","B1-002-025-A-01","4","0","4","10","3","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","910.E58","Estante Plástica Organizadora Modular Branca 3 Prateleiras","PRDD2NV3L22IYHH2","7898062609193","P1-004-013-B-02","34","0","34","4","60","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","10E.231","Gaveteiro Branco 4 Gavetas Pequenas","PRDZY4FL0J06HTC1","7898062605720","P2-005-002-C-01","20","0","20","0","0","Ações                 Detalhes"
"(FBO) ALTAS PONTO COM LTDA","54D.994","Conjunto com 4 Caixas Organizadora 60 Litros na Cor Preta","PRD04SPIHEGP5CG2","7898062607113","B1-002-002-A-01","66","0","66","0","0","Ações                 Detalhes"
"(FBO) Antonio Alexandre de Sousa Silva","2AA.E59","Toca Barraca Infantil Pop Up Dinossauros Com 50 Bolinhas","PRDNZBU887FY11B4","PRDNZBU887FY11B4","P1-004-003-B-01","20","0","20","0","0","Ações                 Detalhes"
"(FBO) Antonio Alexandre de Sousa Silva","A4F.D81","Barraca Infantil Portátil Toca Princesa Encantada Camping 3+","PRDJSFLD5NIDLTOJ","7897575116921","E1-026-018-A-02","8","0","8","0","0","Ações                 Detalhes"
"(FBO) Antonio Alexandre de Sousa Silva","7E6.7DF","Toca Barraca Infantil Pop Up Unicórnio Com 50 Bolinhas","PRDTW5HJ7CD1LUBF","PRDTW5HJ7CD1LUBF","P2-008-012-A-02","17","0","17","0","0","Ações                 Detalhes"
"(FBO) Antonio Alexandre de Sousa Silva","2A7.DC1","Barraca Casinha Infantil Dinossauro","PRD8C9M0QW055QM8","7897275168497","P2-008-016-A-03","10","0","10","0","0","Ações                 Detalhes"
"(FBO) Antonio Alexandre de Sousa Silva","01D.AAA","Barraca Infantil Portátil Toca Pop Up Unicórnio Dobrável 3+","PRDVTG6K7YP6D07X","7897275165151","E1-026-005-A-01","5","0","5","0","0","Ações                 Detalhes"
"(FBO) APS COM DE PARAFUSOS, FERRAMENTAS E FERRAGENS LTDA","D8C.EBE","Flama 161 Bv Inversora 160Amp 110/220V Boxer","PRDLD5HUN1RQPSIY","7909463285579","P1-007-005-A-01","23","0","23","1","161","Ações                 Detalhes"
"(FBO) APS COM DE PARAFUSOS, FERRAMENTAS E FERRAGENS LTDA","E72.646","Furadeira Parafusadeira Impacto Dewalt Dcd776C2 Bivolt","PRDUA74MQN986KUZ","7909463285616","P1-002-006-A-02","55","0","55","0","0","Ações                 Detalhes"
